"","count.P"
"1316_at",85
"1320_at",85
"1405_i_at",85
"1552280_at",85
"1552281_at",85
"1552283_s_at",85
"1552286_at",85
"1552315_at",85
"1552316_a_at",85
"1552318_at",85
"1552319_a_at",85
"1552320_a_at",85
"1552321_a_at",85
"1552326_a_at",85
"1552327_at",85
"1552365_at",65
"1552367_a_at",79
"1552368_at",85
"1552370_at",85
"1552372_at",85
"1552373_s_at",72
"1552375_at",85
"1552377_s_at",85
"1552379_at",83
"1552381_at",85
"1552383_at",78
"1552384_a_at",85
"1552386_at",85
"1552388_at",84
"1552389_at",85
"1552390_a_at",85
"1552391_at",85
"1552393_at",85
"1552394_a_at",85
"1552396_at",85
"1552398_a_at",85
"1552399_a_at",85
"1552400_a_at",85
"1552401_a_at",85
"1552402_at",85
"1552405_at",85
"1552408_at",85
"1552409_a_at",85
"1552410_at",85
"1552411_at",85
"1552412_a_at",85
"1552414_at",85
"1552415_a_at",85
"1552418_at",85
"1552419_s_at",85
"1552421_a_at",85
"1552423_at",85
"1552424_at",84
"1552426_a_at",85
"1552427_at",78
"1552432_at",68
"1552436_a_at",75
"1552438_a_at",85
"1552455_at",85
"1552456_a_at",84
"1552457_a_at",85
"1552458_at",85
"1552459_a_at",85
"1552461_at",85
"1552463_at",85
"1552466_x_at",85
"1552467_at",85
"1552470_a_at",85
"1552472_a_at",85
"1552477_a_at",76
"1552478_a_at",85
"1552480_s_at",85
"1552484_at",85
"1552485_at",66
"1552486_s_at",69
"1552487_a_at",85
"1552489_s_at",85
"1552490_at",85
"1552491_at",80
"1552493_s_at",85
"1552494_at",85
"1552496_a_at",85
"1552497_a_at",85
"1552498_at",85
"1552499_a_at",85
"1552501_a_at",85
"1552502_s_at",85
"1552503_at",85
"1552504_a_at",84
"1552506_at",85
"1552507_at",85
"1552508_at",78
"1552509_a_at",85
"1552510_at",67
"1552511_a_at",85
"1552515_at",85
"1552521_a_at",85
"1552524_at",82
"1552526_at",85
"1552531_a_at",85
"1552536_at",84
"1552540_s_at",85
"1552542_s_at",73
"1552543_a_at",82
"1552544_at",85
"1552552_s_at",80
"1552554_a_at",78
"1552555_at",65
"1552559_a_at",85
"1552562_at",75
"1552563_a_at",85
"1552564_at",85
"1552569_a_at",85
"1552570_at",85
"1552573_s_at",85
"1552575_a_at",82
"1552580_at",85
"1552582_at",85
"1552583_s_at",85
"1552584_at",76
"1552585_s_at",85
"1552587_at",83
"1552588_a_at",85
"1552592_at",77
"1552594_at",74
"1552598_at",82
"1552599_at",85
"1552604_at",85
"1552605_s_at",83
"1552607_at",85
"1552609_s_at",84
"1552615_at",85
"1552616_a_at",85
"1552618_at",85
"1552621_at",85
"1552627_a_at",84
"1552628_a_at",85
"1552629_a_at",85
"1552631_a_at",85
"1552633_at",82
"1552634_a_at",85
"1552637_at",84
"1552639_at",80
"1552646_at",85
"1552651_a_at",85
"1552656_s_at",83
"1552658_a_at",85
"1552660_a_at",65
"1552662_a_at",71
"1552670_a_at",85
"1552672_a_at",85
"1552676_at",77
"1552678_a_at",85
"1552682_a_at",84
"1552684_a_at",85
"1552685_a_at",84
"1552686_at",85
"1552687_a_at",85
"1552689_at",85
"1552695_a_at",80
"1552698_at",85
"1552701_a_at",85
"1552705_at",81
"1552708_a_at",68
"1552716_at",85
"1552717_s_at",85
"1552719_at",85
"1552722_at",83
"1552724_at",85
"1552726_at",78
"1552729_at",83
"1552730_at",85
"1552732_at",85
"1552733_at",80
"1552734_at",84
"1552735_at",69
"1552738_a_at",84
"1552749_a_at",84
"1552750_at",85
"1552751_a_at",85
"1552758_at",84
"1552765_x_at",74
"1552766_at",85
"1552767_a_at",85
"1552768_at",85
"1552770_s_at",82
"1552771_a_at",84
"1552772_at",85
"1552773_at",85
"1552774_a_at",85
"1552775_at",83
"1552783_at",68
"1552785_at",84
"1552787_at",85
"1552789_at",78
"1552791_a_at",84
"1552792_at",65
"1552793_at",85
"1552794_a_at",84
"1552797_s_at",84
"1552799_at",76
"1552801_at",85
"1552804_a_at",75
"1552806_a_at",85
"1552808_at",75
"1552809_at",85
"1552812_a_at",85
"1552813_at",85
"1552814_a_at",85
"1552825_at",80
"1552826_at",85
"1552827_s_at",85
"1552828_at",85
"1552833_at",85
"1552834_at",84
"1552837_at",78
"1552841_s_at",66
"1552846_s_at",76
"1552848_a_at",75
"1552849_at",85
"1552854_a_at",78
"1552856_at",84
"1552857_a_at",85
"1552865_a_at",72
"1552868_at",85
"1552870_s_at",69
"1552872_at",75
"1552873_s_at",84
"1552875_a_at",76
"1552884_at",85
"1552892_at",72
"1552897_a_at",85
"1552900_a_at",85
"1552902_a_at",85
"1552903_at",85
"1552906_at",81
"1552911_at",74
"1552912_a_at",84
"1552915_at",79
"1552917_at",82
"1552922_at",80
"1552924_a_at",85
"1552927_at",85
"1552930_at",83
"1552932_at",85
"1552937_s_at",75
"1552944_a_at",69
"1552948_at",72
"1552954_at",85
"1552955_at",82
"1552957_at",73
"1552960_at",85
"1552965_a_at",84
"1552972_at",73
"1552973_at",82
"1552977_a_at",85
"1552978_a_at",85
"1552988_at",85
"1552990_at",71
"1552993_at",85
"1552995_at",85
"1553002_at",82
"1553003_at",79
"1553004_at",81
"1553006_at",83
"1553007_a_at",82
"1553013_at",81
"1553015_a_at",85
"1553021_s_at",82
"1553027_a_at",85
"1553030_a_at",83
"1553033_at",85
"1553034_at",85
"1553036_at",72
"1553037_a_at",85
"1553039_a_at",81
"1553044_at",70
"1553045_at",85
"1553046_s_at",84
"1553048_a_at",84
"1553051_s_at",77
"1553052_at",73
"1553053_at",82
"1553058_at",85
"1553062_at",72
"1553067_a_at",85
"1553071_a_at",80
"1553072_at",70
"1553080_at",77
"1553082_at",69
"1553084_at",84
"1553086_at",83
"1553088_a_at",84
"1553093_a_at",68
"1553094_at",84
"1553101_a_at",72
"1553108_at",80
"1553112_s_at",85
"1553113_s_at",85
"1553114_a_at",84
"1553122_s_at",68
"1553123_at",79
"1553125_x_at",85
"1553126_a_at",85
"1553127_a_at",75
"1553129_at",85
"1553130_at",81
"1553146_at",84
"1553148_a_at",85
"1553151_at",84
"1553156_at",81
"1553171_x_at",85
"1553175_s_at",80
"1553178_a_at",85
"1553186_x_at",64
"1553188_s_at",73
"1553196_a_at",85
"1553199_at",81
"1553204_at",70
"1553205_at",69
"1553207_at",85
"1553209_at",85
"1553212_at",85
"1553215_s_at",85
"1553221_at",85
"1553222_at",85
"1553224_at",64
"1553225_s_at",85
"1553235_at",84
"1553239_at",81
"1553241_at",83
"1553244_at",85
"1553247_a_at",85
"1553257_at",83
"1553263_at",75
"1553264_a_at",85
"1553279_at",73
"1553284_s_at",71
"1553292_s_at",85
"1553301_a_at",79
"1553303_at",84
"1553310_at",84
"1553317_s_at",84
"1553319_at",76
"1553320_s_at",66
"1553326_at",64
"1553333_at",84
"1553348_a_at",82
"1553356_at",83
"1553367_a_at",85
"1553376_a_at",85
"1553391_at",78
"1553396_a_at",85
"1553403_at",76
"1553405_a_at",74
"1553407_at",85
"1553409_at",65
"1553410_a_at",73
"1553411_s_at",79
"1553423_a_at",80
"1553426_at",85
"1553429_at",85
"1553430_a_at",85
"1553441_at",82
"1553446_at",81
"1553447_at",85
"1553460_at",65
"1553466_at",81
"1553470_at",85
"1553474_at",85
"1553482_at",84
"1553485_at",65
"1553486_a_at",81
"1553489_a_at",85
"1553494_at",72
"1553498_at",85
"1553505_at",83
"1553511_at",85
"1553528_a_at",67
"1553530_a_at",76
"1553535_a_at",73
"1553552_at",84
"1553555_at",85
"1553565_s_at",81
"1553573_s_at",85
"1553587_a_at",83
"1553589_a_at",77
"1553592_x_at",82
"1553604_at",71
"1553607_at",78
"1553612_at",82
"1553618_at",85
"1553634_a_at",71
"1553644_at",78
"1553645_at",84
"1553646_at",75
"1553651_at",85
"1553654_at",85
"1553670_at",69
"1553673_at",85
"1553674_at",70
"1553675_at",76
"1553685_s_at",85
"1553696_s_at",83
"1553698_a_at",74
"1553709_a_at",84
"1553727_at",80
"1553736_at",85
"1553740_a_at",70
"1553755_at",64
"1553778_at",79
"1553785_at",78
"1553793_a_at",85
"1553796_at",81
"1553799_at",85
"1553803_at",85
"1553810_a_at",81
"1553817_at",85
"1553823_a_at",84
"1553832_at",85
"1553835_a_at",72
"1553837_at",85
"1553845_x_at",81
"1553846_at",77
"1553851_at",84
"1553857_at",85
"1553869_at",79
"1553880_at",81
"1553882_at",85
"1553886_at",71
"1553887_at",83
"1553893_at",84
"1553898_a_at",85
"1553917_at",68
"1553943_at",80
"1553993_s_at",85
"1553995_a_at",78
"1553998_at",85
"1554001_at",85
"1554004_a_at",67
"1554010_at",75
"1554039_at",65
"1554076_s_at",74
"1554095_at",81
"1554098_at",77
"1554099_a_at",82
"1554102_a_at",74
"1554119_at",74
"1554121_at",75
"1554122_a_at",85
"1554127_s_at",85
"1554131_at",85
"1554158_at",76
"1554159_a_at",73
"1554167_a_at",82
"1554170_a_at",84
"1554194_at",77
"1554205_s_at",85
"1554212_s_at",82
"1554231_a_at",85
"1554258_a_at",69
"1554273_a_at",85
"1554276_at",68
"1554283_at",84
"1554298_a_at",82
"1554308_s_at",83
"1554312_at",79
"1554316_at",85
"1554327_a_at",68
"1554355_a_at",82
"1554377_a_at",80
"1554382_at",85
"1554394_at",85
"1554401_a_at",65
"1554419_x_at",77
"1554430_at",84
"1554432_x_at",84
"1554438_at",78
"1554451_s_at",72
