"","count.P"
"1316_at",130
"1320_at",130
"1405_i_at",130
"1552280_at",130
"1552281_at",130
"1552283_s_at",130
"1552286_at",130
"1552315_at",130
"1552316_a_at",130
"1552318_at",130
"1552319_a_at",130
"1552320_a_at",130
"1552321_a_at",130
"1552326_a_at",130
"1552327_at",129
"1552367_a_at",129
"1552368_at",130
"1552370_at",130
"1552372_at",130
"1552373_s_at",103
"1552375_at",130
"1552377_s_at",130
"1552379_at",130
"1552381_at",130
"1552383_at",128
"1552384_a_at",130
"1552386_at",130
"1552388_at",127
"1552389_at",130
"1552390_a_at",130
"1552391_at",130
"1552393_at",130
"1552394_a_at",130
"1552396_at",130
"1552398_a_at",130
"1552399_a_at",130
"1552400_a_at",130
"1552401_a_at",130
"1552402_at",130
"1552405_at",130
"1552408_at",130
"1552409_a_at",130
"1552410_at",130
"1552411_at",130
"1552412_a_at",130
"1552414_at",130
"1552415_a_at",130
"1552418_at",130
"1552419_s_at",130
"1552421_a_at",130
"1552422_at",110
"1552423_at",130
"1552424_at",130
"1552426_a_at",130
"1552427_at",124
"1552432_at",122
"1552436_a_at",125
"1552438_a_at",130
"1552455_at",130
"1552456_a_at",123
"1552457_a_at",130
"1552458_at",130
"1552459_a_at",130
"1552461_at",130
"1552463_at",130
"1552466_x_at",130
"1552467_at",130
"1552470_a_at",130
"1552472_a_at",130
"1552477_a_at",109
"1552478_a_at",129
"1552480_s_at",130
"1552481_s_at",110
"1552484_at",130
"1552485_at",122
"1552486_s_at",103
"1552487_a_at",130
"1552489_s_at",130
"1552490_at",130
"1552491_at",113
"1552493_s_at",130
"1552494_at",130
"1552496_a_at",129
"1552497_a_at",130
"1552498_at",130
"1552499_a_at",130
"1552501_a_at",128
"1552502_s_at",130
"1552503_at",130
"1552504_a_at",129
"1552506_at",130
"1552507_at",130
"1552508_at",122
"1552509_a_at",130
"1552510_at",109
"1552511_a_at",130
"1552515_at",130
"1552521_a_at",130
"1552522_at",119
"1552524_at",129
"1552526_at",130
"1552531_a_at",129
"1552536_at",128
"1552538_a_at",114
"1552540_s_at",130
"1552541_at",104
"1552543_a_at",130
"1552544_at",130
"1552552_s_at",126
"1552554_a_at",128
"1552555_at",117
"1552559_a_at",127
"1552562_at",127
"1552563_a_at",130
"1552564_at",130
"1552569_a_at",130
"1552570_at",127
"1552572_a_at",105
"1552573_s_at",130
"1552575_a_at",130
"1552580_at",130
"1552582_at",130
"1552583_s_at",130
"1552584_at",116
"1552585_s_at",130
"1552587_at",128
"1552588_a_at",130
"1552592_at",119
"1552594_at",125
"1552598_at",128
"1552599_at",130
"1552602_at",112
"1552604_at",130
"1552605_s_at",130
"1552607_at",130
"1552608_at",106
"1552609_s_at",130
"1552615_at",130
"1552616_a_at",130
"1552618_at",130
"1552619_a_at",114
"1552621_at",130
"1552627_a_at",130
"1552628_a_at",130
"1552629_a_at",130
"1552631_a_at",129
"1552633_at",122
"1552634_a_at",130
"1552637_at",129
"1552639_at",126
"1552646_at",130
"1552651_a_at",130
"1552656_s_at",128
"1552658_a_at",130
"1552660_a_at",101
"1552662_a_at",123
"1552664_at",113
"1552667_a_at",117
"1552670_a_at",130
"1552672_a_at",130
"1552676_at",129
"1552678_a_at",130
"1552682_a_at",127
"1552684_a_at",130
"1552685_a_at",127
"1552686_at",130
"1552687_a_at",130
